STACKQL_SERVICE,STACKQL_RESOURCE,STACKQL_METHOD,SQL_VERB,OBJECT_KEY,RESPONSE_SHAPE,OPERATION_ID,REQUIRED_PARAMS,HTTP_PATH,HTTP_VERB
accesscontextmanager,access_policies_iam_policies,test_iam_permissions,exec,,TestIamPermissionsResponse,accesscontextmanager.accessPolicies.testIamPermissions,accessPolicies,//v1/accessPolicies/{accessPoliciesId}:testIamPermissions,POST
accesscontextmanager,access_levels,list,select,$.accessLevels,ListAccessLevelsResponse,accesscontextmanager.accessPolicies.accessLevels.list,accessPolicies,//v1/accessPolicies/{accessPoliciesId}/accessLevels,GET
accesscontextmanager,access_levels,create,insert,,Operation,accesscontextmanager.accessPolicies.accessLevels.create,accessPolicies,//v1/accessPolicies/{accessPoliciesId}/accessLevels,POST
accesscontextmanager,access_levels,get,select,,AccessLevel,accesscontextmanager.accessPolicies.accessLevels.get,accessPolicies|accessLevels,//v1/accessPolicies/{accessPoliciesId}/accessLevels/{accessLevelsId},GET
accesscontextmanager,access_levels,patch,update,,Operation,accesscontextmanager.accessPolicies.accessLevels.patch,accessPolicies|accessLevels,//v1/accessPolicies/{accessPoliciesId}/accessLevels/{accessLevelsId},PATCH
accesscontextmanager,access_levels,delete,delete,,Operation,accesscontextmanager.accessPolicies.accessLevels.delete,accessPolicies|accessLevels,//v1/accessPolicies/{accessPoliciesId}/accessLevels/{accessLevelsId},DELETE
accesscontextmanager,access_levels,replace_all,replace,,Operation,accesscontextmanager.accessPolicies.accessLevels.replaceAll,accessPolicies,//v1/accessPolicies/{accessPoliciesId}/accessLevels:replaceAll,POST
accesscontextmanager,access_levels_iam_policies,test_iam_permissions,exec,,TestIamPermissionsResponse,accesscontextmanager.accessPolicies.accessLevels.testIamPermissions,accessPolicies|accessLevels,//v1/accessPolicies/{accessPoliciesId}/accessLevels/{accessLevelsId}:testIamPermissions,POST
accesscontextmanager,service_perimeters,list,select,$.servicePerimeters,ListServicePerimetersResponse,accesscontextmanager.accessPolicies.servicePerimeters.list,accessPolicies,//v1/accessPolicies/{accessPoliciesId}/servicePerimeters,GET
accesscontextmanager,service_perimeters,create,insert,,Operation,accesscontextmanager.accessPolicies.servicePerimeters.create,accessPolicies,//v1/accessPolicies/{accessPoliciesId}/servicePerimeters,POST
accesscontextmanager,service_perimeters,get,select,,ServicePerimeter,accesscontextmanager.accessPolicies.servicePerimeters.get,accessPolicies|servicePerimeters,//v1/accessPolicies/{accessPoliciesId}/servicePerimeters/{servicePerimetersId},GET
accesscontextmanager,service_perimeters,patch,update,,Operation,accesscontextmanager.accessPolicies.servicePerimeters.patch,accessPolicies|servicePerimeters,//v1/accessPolicies/{accessPoliciesId}/servicePerimeters/{servicePerimetersId},PATCH
accesscontextmanager,service_perimeters,delete,delete,,Operation,accesscontextmanager.accessPolicies.servicePerimeters.delete,accessPolicies|servicePerimeters,//v1/accessPolicies/{accessPoliciesId}/servicePerimeters/{servicePerimetersId},DELETE
accesscontextmanager,service_perimeters,replace_all,replace,,Operation,accesscontextmanager.accessPolicies.servicePerimeters.replaceAll,accessPolicies,//v1/accessPolicies/{accessPoliciesId}/servicePerimeters:replaceAll,POST
accesscontextmanager,service_perimeters,commit,exec,,Operation,accesscontextmanager.accessPolicies.servicePerimeters.commit,accessPolicies,//v1/accessPolicies/{accessPoliciesId}/servicePerimeters:commit,POST
accesscontextmanager,service_perimeters_iam_policies,test_iam_permissions,exec,,TestIamPermissionsResponse,accesscontextmanager.accessPolicies.servicePerimeters.testIamPermissions,accessPolicies|servicePerimeters,//v1/accessPolicies/{accessPoliciesId}/servicePerimeters/{servicePerimetersId}:testIamPermissions,POST
accesscontextmanager,authorized_orgs_descs,list,select,$.authorizedOrgsDescs,ListAuthorizedOrgsDescsResponse,accesscontextmanager.accessPolicies.authorizedOrgsDescs.list,accessPolicies,//v1/accessPolicies/{accessPoliciesId}/authorizedOrgsDescs,GET
accesscontextmanager,authorized_orgs_descs,create,insert,,Operation,accesscontextmanager.accessPolicies.authorizedOrgsDescs.create,accessPolicies,//v1/accessPolicies/{accessPoliciesId}/authorizedOrgsDescs,POST
accesscontextmanager,authorized_orgs_descs,get,select,,AuthorizedOrgsDesc,accesscontextmanager.accessPolicies.authorizedOrgsDescs.get,accessPolicies|authorizedOrgsDescs,//v1/accessPolicies/{accessPoliciesId}/authorizedOrgsDescs/{authorizedOrgsDescsId},GET
accesscontextmanager,authorized_orgs_descs,patch,update,,Operation,accesscontextmanager.accessPolicies.authorizedOrgsDescs.patch,accessPolicies|authorizedOrgsDescs,//v1/accessPolicies/{accessPoliciesId}/authorizedOrgsDescs/{authorizedOrgsDescsId},PATCH
accesscontextmanager,authorized_orgs_descs,delete,delete,,Operation,accesscontextmanager.accessPolicies.authorizedOrgsDescs.delete,accessPolicies|authorizedOrgsDescs,//v1/accessPolicies/{accessPoliciesId}/authorizedOrgsDescs/{authorizedOrgsDescsId},DELETE
accesscontextmanager,services,list,select,$.supportedServices,ListSupportedServicesResponse,accesscontextmanager.services.list,,//v1/services,GET
accesscontextmanager,services,get,select,,SupportedService,accesscontextmanager.services.get,name,//v1/services/{name},GET
accesscontextmanager,gcp_user_access_bindings,list,select,$.gcpUserAccessBindings,ListGcpUserAccessBindingsResponse,accesscontextmanager.organizations.gcpUserAccessBindings.list,organizations,//v1/organizations/{organizationsId}/gcpUserAccessBindings,GET
accesscontextmanager,gcp_user_access_bindings,create,insert,,Operation,accesscontextmanager.organizations.gcpUserAccessBindings.create,organizations,//v1/organizations/{organizationsId}/gcpUserAccessBindings,POST
accesscontextmanager,gcp_user_access_bindings,get,select,,GcpUserAccessBinding,accesscontextmanager.organizations.gcpUserAccessBindings.get,organizations|gcpUserAccessBindings,//v1/organizations/{organizationsId}/gcpUserAccessBindings/{gcpUserAccessBindingsId},GET
accesscontextmanager,gcp_user_access_bindings,patch,update,,Operation,accesscontextmanager.organizations.gcpUserAccessBindings.patch,organizations|gcpUserAccessBindings,//v1/organizations/{organizationsId}/gcpUserAccessBindings/{gcpUserAccessBindingsId},PATCH
accesscontextmanager,gcp_user_access_bindings,delete,delete,,Operation,accesscontextmanager.organizations.gcpUserAccessBindings.delete,organizations|gcpUserAccessBindings,//v1/organizations/{organizationsId}/gcpUserAccessBindings/{gcpUserAccessBindingsId},DELETE
addressvalidation,addressvalidation,validate_address,exec,,GoogleMapsAddressvalidationV1ValidateAddressResponse,addressvalidation.validateAddress,,//v1:validateAddress,POST
addressvalidation,addressvalidation,provide_validation_feedback,exec,,GoogleMapsAddressvalidationV1ProvideValidationFeedbackResponse,addressvalidation.provideValidationFeedback,,//v1:provideValidationFeedback,POST
advisorynotifications,settings,get_settings,select,,GoogleCloudAdvisorynotificationsV1Settings,advisorynotifications.projects.locations.getSettings,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}/settings,GET
advisorynotifications,settings,update_settings,update,,GoogleCloudAdvisorynotificationsV1Settings,advisorynotifications.projects.locations.updateSettings,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}/settings,PATCH
advisorynotifications,notifications,list,select,$.notifications,GoogleCloudAdvisorynotificationsV1ListNotificationsResponse,advisorynotifications.projects.locations.notifications.list,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}/notifications,GET
advisorynotifications,notifications,get,select,,GoogleCloudAdvisorynotificationsV1Notification,advisorynotifications.projects.locations.notifications.get,projects|locations|notifications,//v1/projects/{projectsId}/locations/{locationsId}/notifications/{notificationsId},GET
aiplatform,datasets,create,insert,,GoogleLongrunningOperation,aiplatform.projects.locations.datasets.create,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}/datasets,POST
aiplatform,datasets,list,select,$.datasets,GoogleCloudAiplatformV1ListDatasetsResponse,aiplatform.projects.locations.datasets.list,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}/datasets,GET
aiplatform,datasets,get,select,,GoogleCloudAiplatformV1Dataset,aiplatform.projects.locations.datasets.get,projects|locations|datasets,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId},GET
aiplatform,datasets,patch,update,,GoogleCloudAiplatformV1Dataset,aiplatform.projects.locations.datasets.patch,projects|locations|datasets,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId},PATCH
aiplatform,datasets,delete,delete,,GoogleLongrunningOperation,aiplatform.projects.locations.datasets.delete,projects|locations|datasets,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId},DELETE
aiplatform,datasets,import,exec,,GoogleLongrunningOperation,aiplatform.projects.locations.datasets.import,projects|locations|datasets,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId}:import,POST
aiplatform,datasets,export,exec,,GoogleLongrunningOperation,aiplatform.projects.locations.datasets.export,projects|locations|datasets,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId}:export,POST
aiplatform,datasets,search_data_items,exec,,GoogleCloudAiplatformV1SearchDataItemsResponse,aiplatform.projects.locations.datasets.searchDataItems,projects|locations|datasets,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId}:searchDataItems,GET
aiplatform,dataset_versions,create,insert,,GoogleLongrunningOperation,aiplatform.projects.locations.datasets.datasetVersions.create,projects|locations|datasets,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId}/datasetVersions,POST
